1000099;Sordi;Alberto;M;alberto.sordi@unitn.it;0001
1000100;Favino;Pierfrancesco;M;favino@unitn.it;0002
1000313;Chiari;Walter;M;walter.chiari@unitn.it;0003
1000356;Preziosi;Alessandro;M;alessandro.preziosi@unitn.it;0004
1000383;Loren;Sophia;F;loren@unitn.it;0005
1000421;Haber;Alessandro;M;alessandro.haber@unitn.it;0006
1000537;Gassman;Vittorio;M;vittorio.gassman@unitn.it;0007
1000772;Albanese;Antonio;M;antonio.albanese@unitn.it;0008
1000778;Bellucci;monica;F;monica.bellucci@unitn.it;0009
1000906;Spencer;Bud;M;bud.spencer@unitn.it;0010
1002951;Verdone;Carlo;M;carlo.verdone@unitn.it;0011
1003072;De Sica;Cristian;M;cristian.desica@unitn.it;0012
1003162;Franchi;Franco;M;franco.franchi@unitn.it;0013
1003263;De Filippo;Eduardo;M;eduardo.defilippo@unitn.it;0014
1003412;Volo;Fabio;M;fabio.volo@unitn.it;0015
1003638;Giannini;Giancarlo;M;giancarlo.giannini@unitn.it;1001
1003709;Vitti;Monica;F;monica.vitti@unitn.it;1002
1003946;Zingaretti;Luca;M;luca.zingaretti@unitn.it;1003
1004406;Troisi;Massimo;M;massimo.troisi@unitn.it;2020
1004712;Magnani;Anna;F;anna.magnani@unitn.it;2100
1004729;Rossellini;Isabella;F;i.rossellini@unitn.it;3400
1004783;Villaggio;Paolo;M;paolo.villaggio@unitn.it;3501
1004886;Pozzetto;Renato;M;renato.pozzetto@unitn.it;3575
1006142;Capotondi;Cristiana;F;cristiana.capotondi@studenti.unitn.it;
1006317;Benigni;Roberto;M;roberto.benigni@studenti.unitn.it;
1010507;Memphis;Ricky;M;memphis@studenti.unitn.it;
1020302;Lisi;Virna;F;virna.lisi@studenti.unitn.it;
1035092;Accorsi;Stefano;M;accorsi@unitn.it;3677
1050467;Cardinale;Claudia;F;c.cardinale@unitn.it;5555
1127966;Mastroianni;Marcello;M;marcello.mastroianni@unitn.it;
1169172;Maria Grazia;Cucinotta;F;mg.cucinotta@unitn.it;
1180169;Cortellesi;Paola;F;paola.cortellesi@unitn.it;3333
1185453;Ricci;Elena Sofia;F;es.ricci@unitn.it;
1188141;Tognazzi;Ugo;M;u.tognazzi@unitn.it;
1223105;Hill;Terence;M;terence@unitn.it;1944
1228874;Valle;Anna;F;anna.valle@studenti.unitn.it;
1242040;Scamarcio;Riccardo;M;r.scamarcio@unitn.it;
1244287;Gerini;Claudia;F;c.gerini@unitn.it;1717
